UID,주거 형태,연간 소득,현재 직장 근속 연수,체납 세금 압류 횟수,개설된 신용계좌 수,신용 거래 연수,최대 신용한도,신용 문제 발생 횟수,마지막 연체 이후 경과 개월 수,개인 파산 횟수,대출 목적,대출 상환 기간,현재 대출 잔액,현재 미상환 신용액,월 상환 부채액,신용 점수,채무 불이행 여부
TRAIN_00012,주택 담보 대출 (거주 중),604522.5,9년,0,14,14.9,749731.5,1,42,1,부채 통합,장기 상환,274624.5,179104.5,11394,762,1
TRAIN_00013,주택 담보 대출 (거주 중),4910103,10년 이상,0,13,33.9,4898010,0,34,0,부채 통합,단기 상환,1127766,869257.5,109195.5,751,1
TRAIN_00014,월세,1871350.5,8년,0,14,15.4,814137,1,29,3,부채 통합,단기 상환,472837.5,544896,18771,725,1
TRAIN_00015,월세,1652191.5,10년 이상,0,16,12.6,672975,0,41,0,부채 통합,단기 상환,402087,397474.5,16758,749,1
TRAIN_00016,월세,2142808.5,10년 이상,0,14,17,460338,0,62,1,부채 통합,단기 상환,345036,154639.5,12793.5,800,0
TRAIN_00017,월세,1493856,10년 이상,0,10,16.9,409668,2,31,0,부채 통합,단기 상환,188832,64353,12205.5,805,0
TRAIN_00018,월세,1268124,10년 이상,0,12,15.4,1290004.5,1,40,0,부채 통합,단기 상환,363013.5,510651,40687.5,758,1
TRAIN_00019,주택 담보 대출 (거주 중),3147556.5,2년,0,22,17,791769,0,3,0,사업 대출,장기 상환,662514,415540.5,24369,760,1
TRAIN_00020,주택 담보 대출 (거주 중),4861900.5,7년,0,10,39.2,5406213,0,12,0,주택 개보수,장기 상환,684924,146569.5,50541,736,0
TRAIN_00021,주택 담보 대출 (거주 중),1469878.5,8년,0,12,17.8,135906,6,31,3,부채 통합,장기 상환,879040.5,145282.5,52614,682,1
TRAIN_00022,주택 담보 대출 (거주 중),3108426,10년 이상,0,6,26.1,340866,0,11,0,기타,단기 상환,191661,277110,20904,542,0
TRAIN_00023,주택 담보 대출 (거주 중),2765965.5,10년 이상,0,7,27.7,586482,1,41,1,주택 개보수,단기 상환,927499.5,228270,45687,662,0
TRAIN_00024,자가,1841196,6년,0,14,15.7,1615672.5,0,26,0,부채 통합,단기 상환,465994.5,457314,35797.5,798,1
TRAIN_00025,월세,1498830,1년 미만,0,14,30.5,555916.5,1,29,3,부채 통합,단기 상환,330313.5,389448,26952,675,1
TRAIN_00026,주택 담보 대출 (거주 중),1402951.5,3년,0,6,12.6,536979,0,15,0,여행 자금,단기 상환,158463,131706,6631.5,749,0
TRAIN_00027,주택 담보 대출 (거주 중),3061012.5,10년 이상,0,19,31.4,4811965.5,0,8,0,부채 통합,장기 상환,966484.5,808713,34456.5,676,1
TRAIN_00028,월세,620713.5,8년,0,15,11.3,827161.5,0,7,0,부채 통합,단기 상환,500769,321009,1225.5,802,1
TRAIN_00029,주택 담보 대출 (거주 중),2208948,5년,1,21,15.5,1578754.5,2,26,0,부채 통합,단기 상환,1235440.5,177094.5,40174.5,809,0
TRAIN_00030,월세,1421496,6년,0,13,14.7,611347.5,0,33,3,사업 대출,단기 상환,392208,114340.5,30073.5,767,0
TRAIN_00031,월세,678066,10년 이상,0,15,17.6,413776.5,0,79,0,부채 통합,단기 상환,54282,136147.5,32385,751,0
TRAIN_00032,월세,1561882.5,2년,0,8,15.2,968310,0,37,0,부채 통합,단기 상환,314616,107520,8844,667,0
TRAIN_00033,월세,1807107,10년 이상,0,5,12.9,751255.5,1,28,1,부채 통합,단기 상환,542931,482127,23473.5,793,0
TRAIN_00034,월세,1614009,8년,0,8,16.6,527086.5,0,17,0,기타,단기 상환,242439,201213,6954,718,0
TRAIN_00035,월세,702837,10년 이상,0,6,12.8,340593,0,11,0,부채 통합,장기 상환,545044.5,166953,9172.5,662,1
TRAIN_00036,월세,512983.5,8년,0,11,9.9,787032,1,53,0,부채 통합,단기 상환,298693.5,245877,23712,785,1
TRAIN_00037,자가,2383923,10년 이상,0,10,30.5,3357504,0,26,0,부채 통합,단기 상환,143592,89298,8856,764,0
TRAIN_00038,자가,738858,10년 이상,0,12,19.8,653247,0,69,0,부채 통합,단기 상환,381903,623056.5,25626,785,0
TRAIN_00039,월세,1960512,8년,0,12,10.2,832386,0,31,0,부채 통합,단기 상환,808807.5,767200.5,28389,751,1
TRAIN_00040,자가,1053747,8년,0,15,20.1,81823.5,1,43,3,부채 통합,단기 상환,295135.5,132751.5,5103,800,1
TRAIN_00041,자가,1468018.5,2년,0,11,19.5,0,0,40,0,부채 통합,장기 상환,508075.5,97068,6886.5,651,0
TRAIN_00042,주택 담보 대출 (거주 중),1103085,6년,1,23,16.1,998535,0,42,0,부채 통합,장기 상환,387433.5,261796.5,29835,718,1
TRAIN_00043,월세,2006050.5,5년,1,9,11.2,1261672.5,2,32,0,부채 통합,단기 상환,528048,203248.5,25662,736,1
TRAIN_00044,월세,2292121.5,2년,0,7,27.2,1133137.5,0,27,0,주택 개보수,장기 상환,662314.5,158898,16434,685,1
TRAIN_00045,월세,1920613.5,8년,0,16,22.8,104800.5,2,70,3,부채 통합,단기 상환,388233,113824.5,42990,655,1
TRAIN_00046,자가,2131626,1년,0,13,15.8,521527.5,0,40,0,부채 통합,단기 상환,290830.5,237874.5,45367.5,667,0
TRAIN_00047,주택 담보 대출 (거주 중),3221271,4년,0,18,36.3,1288260,0,8,0,부채 통합,장기 상환,1270152,211755,25336.5,529,0
TRAIN_00048,월세,1321915.5,10년 이상,0,8,18.4,270450,0,72,0,부채 통합,단기 상환,58650,87513,22150.5,775,0
TRAIN_00049,주택 담보 대출 (거주 중),2193403.5,7년,0,16,26.9,1374525,0,6,0,기타,장기 상환,611020.5,1088926.5,36961.5,615,1
TRAIN_00050,월세,1852198.5,3년,0,11,13.7,1202125.5,0,0,0,부채 통합,단기 상환,107218.5,197791.5,17668.5,747,0
TRAIN_00051,자가,3802665,2년,0,12,13.1,407548.5,0,7,0,주택 개보수,단기 상환,135475.5,467106,39490.5,664,1
TRAIN_00052,월세,1600468.5,3년,0,13,13.5,895279.5,5,34,3,부채 통합,단기 상환,385588.5,215955,34662,764,1
TRAIN_00053,자가,923323.5,10년 이상,0,7,18,0,0,71,0,부채 통합,단기 상환,414582,270741,7881,687,0
TRAIN_00054,주택 담보 대출 (거주 중),1412610,1년 미만,0,16,13.7,517326,0,76,0,부채 통합,장기 상환,543187.5,228691.5,15384,733,1
TRAIN_00055,월세,2318446.5,8년,0,6,22.4,432885,1,49,1,부채 통합,단기 상환,363460.5,252412.5,28089,793,1
TRAIN_00056,월세,1491948,1년,0,13,21.7,425322,0,28,0,부채 통합,단기 상환,154738.5,90778.5,10339.5,782,0
TRAIN_00057,월세,1198476,5년,0,12,27.3,911446.5,1,66,0,부채 통합,단기 상환,491664,593643,10332,800,0
TRAIN_00058,주택 담보 대출 (거주 중),4607970,10년 이상,0,9,31.3,1807749,1,22,1,부채 통합,단기 상환,1223505,256327.5,29101.5,798,0
TRAIN_00059,월세,1600107,2년,0,6,30.2,882651,0,31,0,부채 통합,장기 상환,504975,147085.5,7051.5,675,0
TRAIN_00060,자가,959785.5,5년,0,10,11.2,83023.5,0,63,0,기타,단기 상환,166726.5,0,16809,716,0
TRAIN_00061,주택 담보 대출 (거주 중),2690202,10년 이상,0,14,15.1,2524911,0,11,0,부채 통합,단기 상환,535747.5,202657.5,30609,784,0
TRAIN_00062,주택 담보 대출 (거주 중),4074408,2년,0,15,11.9,440394,0,10,0,주택 개보수,장기 상환,644497.5,194554.5,36222,787,0
TRAIN_00063,주택 담보 대출 (거주 중),2430243,10년 이상,0,6,18.8,979584,1,38,1,부채 통합,단기 상환,552381,540346.5,33165,818,1
TRAIN_00064,주택 담보 대출 (거주 중),2380201.5,10년 이상,0,16,24.4,427023,1,44,0,부채 통합,단기 상환,420894,389052,18852,800,0
TRAIN_00065,주택 담보 대출 (거주 중),7050775.5,10년 이상,0,11,19.8,1144665,0,39,0,부채 통합,장기 상환,524824.5,573754.5,31827,785,0
TRAIN_00066,자가,1234987.5,8년,0,19,15.3,911506.5,1,23,1,부채 통합,단기 상환,532941,516348,34131,798,1
TRAIN_00067,주택 담보 대출 (거주 중),3400143,10년 이상,0,11,28.9,5131585.5,0,7,0,주택 개보수,단기 상환,1039597.5,944175,108526.5,793,0
TRAIN_00068,주택 담보 대출 (거주 중),2301982.5,10년 이상,0,15,29.6,1042713,1,7,1,부채 통합,단기 상환,357037.5,770451,46701,709,1
TRAIN_00069,월세,1462834.5,10년 이상,0,7,9.1,345300,0,37,0,주택 개보수,단기 상환,335050.5,100159.5,13600.5,785,0
TRAIN_00070,자가,1052976,8년,1,9,27.6,118677,2,19,0,주택 개보수,단기 상환,263496,115549.5,6358.5,704,0
TRAIN_00071,월세,1896349.5,3년,0,9,15.5,890064,0,37,0,부채 통합,장기 상환,315591,248461.5,19810.5,751,0
TRAIN_00072,자가,1166926.5,10년 이상,1,14,16,412578,0,37,0,부채 통합,단기 상환,309307.5,19981.5,8989.5,767,1
TRAIN_00073,주택 담보 대출 (거주 중),5251720.5,1년 미만,1,12,26.9,1312764,2,9,0,주택 개보수,장기 상환,1195159.5,380287.5,85537.5,795,0
TRAIN_00074,월세,1259178,10년 이상,0,7,12.2,116047.5,0,28,0,부채 통합,단기 상환,147504,71623.5,7836,727,0
TRAIN_00075,월세,2335294.5,7년,1,7,14.7,833275.5,2,26,0,부채 통합,단기 상환,550807.5,629355,27667.5,800,0
TRAIN_00076,월세,1526494.5,4년,0,18,22.9,678835.5,1,48,3,부채 통합,단기 상환,545278.5,446790,22467,713,0
TRAIN_00077,주택 담보 대출 (거주 중),1633701,10년 이상,0,19,31.9,18359748,1,64,1,부채 통합,단기 상환,279034.5,371275.5,19027.5,805,0
TRAIN_00078,월세,2365165.5,10년 이상,0,8,26,575910,0,32,0,부채 통합,단기 상환,319723.5,244233,26878.5,805,0
TRAIN_00079,월세,1592062.5,10년 이상,0,11,23.3,1241992.5,0,7,0,부채 통합,단기 상환,399595.5,185851.5,3504,789,0
TRAIN_00080,월세,1158201,10년 이상,0,10,14.9,629973,0,40,0,주택 개보수,단기 상환,305584.5,87322.5,11418,769,1
TRAIN_00081,자가,1671837,3년,0,13,18.6,797863.5,0,22,0,부채 통합,장기 상환,623988,128835,18360,680,1
TRAIN_00082,월세,2217654,6년,0,16,27.4,653604,0,59,1,부채 통합,장기 상환,592242,250221,28543.5,787,1
TRAIN_00083,주택 담보 대출 (비거주 중),1631703,8년,0,15,21.4,492177,6,11,3,부채 통합,단기 상환,243403.5,164577,46483.5,796,0
TRAIN_00084,주택 담보 대출 (거주 중),2640183,6년,1,7,23.2,221854.5,2,46,0,소규모 사업 자금,단기 상환,548389.5,158893.5,23928,800,0
TRAIN_00085,자가,973867.5,2년,0,6,10.6,0,0,20,0,교육비,단기 상환,106900.5,0,0,713,0
TRAIN_00086,주택 담보 대출 (거주 중),1812156,10년 이상,0,11,41.1,983199,1,20,1,부채 통합,단기 상환,470865,160521,49761,740,1
TRAIN_00087,자가,2417559,3년,0,18,18.8,1309581,0,9,0,부채 통합,장기 상환,606499.5,461923.5,6936,802,1
TRAIN_00088,월세,1629523.5,1년 미만,0,7,17.4,179377.5,1,33,1,부채 통합,단기 상환,305545.5,92733,6213,815,0
TRAIN_00089,주택 담보 대출 (거주 중),2719960.5,10년 이상,0,8,16.5,814771.5,0,36,0,부채 통합,단기 상환,646153.5,800755.5,27987,695,1
TRAIN_00090,주택 담보 대출 (거주 중),2484909,7년,0,18,19,12860191.5,0,29,0,부채 통합,장기 상환,1159981.5,256927.5,37752,680,0
TRAIN_00091,주택 담보 대출 (거주 중),7032834,1년 미만,1,11,28.6,1049701.5,0,33,0,주택 개보수,단기 상환,522787.5,187282.5,41250,767,0
TRAIN_00092,주택 담보 대출 (거주 중),1869858,10년 이상,0,13,27.2,0,0,23,0,사업 대출,단기 상환,1002682.5,179004,13983,796,0
TRAIN_00093,주택 담보 대출 (거주 중),3937293,4년,0,13,29.1,4927245,0,31,0,부채 통합,단기 상환,1001118,1048329,28897.5,804,0
TRAIN_00094,월세,1378264.5,8년,0,8,14.6,338785.5,0,9,0,부채 통합,장기 상환,632176.5,211894.5,22069.5,775,1
TRAIN_00095,주택 담보 대출 (거주 중),4431013.5,10년 이상,0,18,32.1,1561020,1,33,0,부채 통합,장기 상환,1262046,997212,26068.5,736,0
TRAIN_00096,주택 담보 대출 (거주 중),3119035.5,7년,0,15,18.3,4530082.5,0,30,0,부채 통합,장기 상환,1257664.5,347619,21139.5,715,1
TRAIN_00097,자가,2339697,8년,0,13,16.9,549025.5,5,46,3,부채 통합,단기 상환,518503.5,180019.5,13893,729,0
TRAIN_00098,주택 담보 대출 (거주 중),1618662,5년,1,14,26.3,907627.5,2,13,0,부채 통합,단기 상환,198946.5,103173,59800.5,693,0
TRAIN_00099,주택 담보 대출 (거주 중),2209911,3년,0,12,15.9,692910,0,5,0,부채 통합,장기 상환,684682.5,100128,15250.5,687,1
TRAIN_00100,월세,1950963,2년,0,6,15.6,494623.5,0,31,0,의료비,장기 상환,227562,39889.5,6663,665,0
TRAIN_00101,월세,2245248,7년,0,4,28.2,857970,1,26,0,부채 통합,단기 상환,1227531,176593.5,17199,776,0
TRAIN_00102,월세,1958677.5,10년 이상,0,13,19.1,793174.5,0,24,0,주택 개보수,장기 상환,503671.5,210042,9705,684,1
TRAIN_00103,자가,1272465,4년,0,12,24,654537,1,45,1,부채 통합,장기 상환,469395,85545,27930,678,1
TRAIN_00104,주택 담보 대출 (거주 중),1293082.5,2년,0,13,18.2,456105,0,8,0,부채 통합,장기 상환,710370,202839,30870,711,0
TRAIN_00105,월세,1426845,8년,2,15,26.6,728205,6,63,3,부채 통합,단기 상환,1014735,156103.5,8509.5,762,0
TRAIN_00106,월세,1763989.5,10년 이상,0,11,14.6,617052,1,71,0,여행 자금,단기 상환,211987.5,192205.5,17055,809,0
TRAIN_00107,주택 담보 대출 (거주 중),3780759,10년 이상,0,19,26.4,855759,0,18,0,주택 개보수,단기 상환,520635,1170946.5,17284.5,798,1
TRAIN_00108,주택 담보 대출 (거주 중),1034496,8년,0,8,15.6,511566,0,13,0,부채 통합,장기 상환,1140669,138504,16801.5,702,0
TRAIN_00109,주택 담보 대출 (거주 중),1135338,5년,0,8,10.2,179614.5,0,12,0,기타,단기 상환,109296,0,15762,633,0
TRAIN_00110,주택 담보 대출 (거주 중),1381162.5,10년 이상,0,11,16.7,1300023,5,72,1,부채 통합,단기 상환,382840.5,198364.5,21562.5,798,1
TRAIN_00111,월세,1642225.5,8년,0,13,18.4,294516,2,32,3,기타,장기 상환,522531,187105.5,18339,744,1
TRAIN_00112,자가,1298782.5,10년 이상,1,19,29.3,468406.5,1,70,0,부채 통합,단기 상환,540619.5,85258.5,6045,791,0
TRAIN_00113,자가,2608143,10년 이상,1,9,11,619806,2,33,0,사업 대출,장기 상환,860289,0,13594.5,736,0
TRAIN_00114,월세,1286127,10년 이상,0,8,19.7,474076.5,4,75,0,사업 대출,단기 상환,116878.5,104841,7063.5,795,0
TRAIN_00115,주택 담보 대출 (거주 중),4410615,5년,4,7,26,1264258.5,5,61,0,기타,장기 상환,1249291.5,284976,34393.5,673,0
TRAIN_00116,주택 담보 대출 (거주 중),4451772,8년,4,27,27.4,1302190.5,2,4,3,주택 개보수,단기 상환,1118074.5,276210,37789.5,665,0
TRAIN_00117,자가,1480506,10년 이상,0,24,14.8,863890.5,0,6,0,부채 통합,단기 상환,719718,445389,27816,758,1
TRAIN_00118,주택 담보 대출 (거주 중),2409316.5,2년,0,9,23.5,929703,0,7,0,기타,장기 상환,252003,117891,25407,758,0
TRAIN_00119,주택 담보 대출 (거주 중),4866306,2년,0,7,27.8,1043559,0,29,0,부채 통합,장기 상환,750409.5,2583391.5,19300.5,789,0
TRAIN_00120,월세,1416288,6년,0,11,17.5,802596,0,2,0,부채 통합,단기 상환,390255,595600.5,31972.5,767,0
TRAIN_00121,주택 담보 대출 (거주 중),1579914,10년 이상,0,10,17,784362,0,39,0,부채 통합,단기 상환,549439.5,462378,41805,747,1
TRAIN_00122,월세,3522819,4년,0,19,22.5,742428,1,70,3,주택 개보수,단기 상환,188988,186022.5,53265,805,0
TRAIN_00123,월세,2240740.5,9년,0,11,18.7,382956,0,12,0,부채 통합,단기 상환,515899.5,343608,8485.5,758,0
TRAIN_00124,월세,1080373.5,10년 이상,0,11,11.5,568600.5,0,63,0,기타,단기 상환,189021,202336.5,11203.5,800,0
TRAIN_00125,주택 담보 대출 (거주 중),1725903,1년 미만,0,14,25.9,1077324,0,9,0,부채 통합,장기 상환,748956,2141454,98065.5,725,0
TRAIN_00126,자가,2361801,3년,0,14,16.2,646111.5,5,13,0,기타,장기 상환,697540.5,173191.5,12843,702,0
TRAIN_00127,자가,2634058.5,5년,4,9,36.7,1456305,4,85,0,고액 구매,단기 상환,1305205.5,279105,27054,744,0
TRAIN_00128,월세,999954,10년 이상,0,9,11.4,156982.5,0,32,0,부채 통합,단기 상환,176670,89818.5,9562.5,675,0
TRAIN_00129,월세,2308512,8년,0,13,20.5,624459,6,68,3,자동차 구매,단기 상환,368205,145753.5,6742.5,751,1
TRAIN_00130,자가,2239714.5,10년 이상,0,14,23.1,4576705.5,0,40,0,주택 개보수,단기 상환,373642.5,1176700.5,32451,807,0
TRAIN_00131,주택 담보 대출 (거주 중),1061245.5,8년,0,10,15.2,1003791,0,10,1,부채 통합,단기 상환,452122.5,447073.5,16165.5,771,0
TRAIN_00132,월세,2458528.5,5년,4,10,19.3,442675.5,5,31,0,의료비,단기 상환,317391,13648.5,4825.5,747,0
TRAIN_00133,월세,1286334,10년 이상,0,19,13.1,685258.5,0,25,0,사업 대출,장기 상환,302305.5,205618.5,11698.5,731,1
TRAIN_00134,주택 담보 대출 (거주 중),11691184.5,10년 이상,0,22,42.3,1540876.5,0,5,0,부채 통합,장기 상환,919699.5,807948,21757.5,775,0
TRAIN_00135,월세,1297854,2년,1,17,19.4,410767.5,1,47,1,부채 통합,단기 상환,347823,419683.5,37498.5,778,0
TRAIN_00136,자가,1695243,6년,0,12,17.8,1163233.5,0,26,0,부채 통합,단기 상환,853551,557673,27019.5,742,0
TRAIN_00137,자가,1493398.5,10년 이상,0,18,9.9,386143.5,0,18,0,기타,장기 상환,382188,166902,19578,738,1
TRAIN_00138,월세,2283960,8년,0,7,15.9,718372.5,0,15,0,부채 통합,장기 상환,525837,109881,4261.5,644,1
TRAIN_00139,월세,1460674.5,10년 이상,0,8,13.8,461742,0,8,0,부채 통합,단기 상환,235948.5,130722,10185,755,0
TRAIN_00140,주택 담보 대출 (거주 중),5176038,10년 이상,0,28,25.8,6554793,0,5,0,부채 통합,단기 상환,483579,421717.5,30282,782,1
TRAIN_00141,주택 담보 대출 (거주 중),1534309.5,9년,0,12,22.3,1791987,1,19,1,부채 통합,단기 상환,271563,135853.5,14929.5,805,0
TRAIN_00142,월세,1141780.5,10년 이상,0,11,20.9,556566,0,10,0,부채 통합,단기 상환,518290.5,432555,28503,764,1
TRAIN_00143,월세,2251294.5,10년 이상,0,22,18.7,1060470,0,61,0,부채 통합,장기 상환,541567.5,507319.5,50983.5,675,0
TRAIN_00144,자가,1636161,10년 이상,0,12,23.2,326653.5,0,29,0,기타,장기 상환,344382,165298.5,28924.5,793,0
TRAIN_00145,주택 담보 대출 (거주 중),1995294,10년 이상,0,13,16.3,438667.5,0,6,0,주택 개보수,장기 상환,749083.5,112759.5,22368,564,1
TRAIN_00146,자가,894250.5,10년 이상,0,9,25.9,851250,0,5,0,기타,단기 상환,254170.5,131545.5,11425.5,776,0
TRAIN_00147,주택 담보 대출 (거주 중),1340422.5,10년 이상,0,13,28.7,180768,0,55,0,주택 개보수,단기 상환,351505.5,37888.5,25135.5,765,0
TRAIN_00148,월세,2233480.5,2년,0,8,13.3,342021,0,25,0,부채 통합,장기 상환,842338.5,165573,12447,733,1
TRAIN_00149,월세,1415620.5,8년,0,12,14.7,0,1,45,1,부채 통합,단기 상환,121246.5,18738,10308,713,1
TRAIN_00150,자가,1955197.5,10년 이상,0,9,19.9,0,0,6,0,부채 통합,단기 상환,200127,56860.5,20575.5,784,0
TRAIN_00151,주택 담보 대출 (거주 중),1467634.5,3년,0,10,19.7,647967,0,6,0,부채 통합,장기 상환,537529.5,121989,22165.5,713,1
TRAIN_00152,주택 담보 대출 (거주 중),1637577,10년 이상,0,8,15.5,116196,0,39,0,여행 자금,단기 상환,222259.5,20683.5,8818.5,696,0
TRAIN_00153,주택 담보 대출 (거주 중),2697732,10년 이상,0,15,15.5,1204248,0,32,0,부채 통합,장기 상환,642646.5,485782.5,43245,707,1
TRAIN_00154,월세,1991242.5,8년,0,12,22.1,836682,6,73,3,의료비,단기 상환,362290.5,139738.5,7060.5,804,1
TRAIN_00155,월세,1134579,6년,0,9,16.2,462685.5,0,9,0,부채 통합,단기 상환,188278.5,117522,17098.5,782,0
TRAIN_00156,주택 담보 대출 (거주 중),1263006,10년 이상,0,21,13.3,759627,1,21,1,부채 통합,단기 상환,555166.5,591385.5,20004,793,0
TRAIN_00157,주택 담보 대출 (거주 중),1939275,10년 이상,0,14,18.1,1348933.5,0,2,0,부채 통합,단기 상환,239290.5,507147,20410.5,751,1
TRAIN_00158,자가,1168746,5년,1,9,13.1,673903.5,2,28,0,주택 개보수,단기 상환,158589,138081,22051.5,691,0
TRAIN_00159,주택 담보 대출 (거주 중),1348560,5년,1,7,14.7,911451,4,17,0,부채 통합,단기 상환,370303.5,230734.5,21360,787,0
TRAIN_00160,주택 담보 대출 (거주 중),5370936,10년 이상,0,20,27.3,1383222,0,8,0,여행 자금,장기 상환,508950,553894.5,36088.5,782,0
TRAIN_00161,주택 담보 대출 (거주 중),1761828,5년,0,3,12.2,75804,1,28,0,사업 대출,장기 상환,731202,232530,20991,607,0
TRAIN_00162,자가,1033735.5,2년,0,12,16.3,368530.5,0,29,0,기타,장기 상환,182170.5,185200.5,2142,747,0
TRAIN_00163,자가,1357603.5,8년,0,13,22,58746,6,31,3,부채 통합,단기 상환,497064,95268,30427.5,682,0
TRAIN_00164,월세,1536895.5,3년,0,10,18.6,821887.5,0,32,0,부채 통합,단기 상환,203736,424185,30586.5,802,1
TRAIN_00165,월세,1352868,10년 이상,0,12,20.9,0,0,52,0,여행 자금,장기 상환,392022,172824,9898.5,740,0
TRAIN_00166,주택 담보 대출 (거주 중),3202942.5,10년 이상,0,14,18.4,551140.5,0,34,0,사업 대출,단기 상환,1310100,538518,40971,780,0
TRAIN_00167,주택 담보 대출 (거주 중),2852799,10년 이상,1,22,23.8,1046658,1,31,0,부채 통합,장기 상환,1213503,171004.5,42151.5,600,0
TRAIN_00168,주택 담보 대출 (거주 중),1993593,10년 이상,0,20,13,456445.5,2,24,0,부채 통합,장기 상환,540382.5,264493.5,22840.5,758,1
TRAIN_00169,자가,3393936,10년 이상,0,13,36.9,3665140.5,0,21,0,부채 통합,단기 상환,858115.5,602800.5,13288.5,647,0
TRAIN_00170,주택 담보 대출 (거주 중),2339289,10년 이상,0,11,29.9,881635.5,0,3,0,부채 통합,장기 상환,506553,171067.5,35503.5,738,0
TRAIN_00171,월세,1293546,10년 이상,0,28,14.7,333183,1,72,0,부채 통합,단기 상환,286548,150846,11935.5,802,1
TRAIN_00172,월세,2560242,5년,0,9,24.1,1113255,0,10,0,부채 통합,장기 상환,616653,195913.5,33460.5,631,1
TRAIN_00173,월세,1811512.5,2년,0,4,15.1,385293,0,31,0,부채 통합,장기 상환,482025,27075,16161,678,0
TRAIN_00174,월세,939033,10년 이상,0,11,14.8,980155.5,0,11,0,부채 통합,단기 상환,266905.5,486034.5,31573.5,805,1
TRAIN_00175,주택 담보 대출 (거주 중),2968663.5,10년 이상,0,26,27.1,4951342.5,0,8,0,주택 개보수,장기 상환,1214125.5,562419,43036.5,749,0
TRAIN_00176,주택 담보 대출 (거주 중),1538665.5,2년,0,16,11.9,374712,0,47,0,주택 개보수,장기 상환,581950.5,392355,5196,693,1
TRAIN_00177,주택 담보 대출 (거주 중),1505674.5,10년 이상,0,9,17.4,1102638,0,8,0,기타,장기 상환,629515.5,232786.5,20517,700,1
TRAIN_00178,월세,1970968.5,4년,0,6,17.5,748485,0,10,0,주택 개보수,단기 상환,214188,336621,49473,765,0
TRAIN_00179,월세,1418782.5,8년,0,23,17.1,683619,2,19,3,부채 통합,단기 상환,484681.5,597031.5,16560,665,1
TRAIN_00180,주택 담보 대출 (거주 중),1681918.5,8년,0,23,14.3,674218.5,5,59,3,부채 통합,장기 상환,571803,231867,18807,733,1
TRAIN_00181,주택 담보 대출 (거주 중),6309186,1년 미만,0,17,41.6,1631967,0,67,0,부채 통합,단기 상환,620247,544965,27756,793,0
TRAIN_00182,월세,1070023.5,2년,0,7,8.4,610213.5,0,25,0,부채 통합,단기 상환,465102,93465,96,722,0
TRAIN_00183,월세,2629440,10년 이상,0,14,24.9,1040806.5,0,34,0,부채 통합,단기 상환,532959,871467,29206.5,802,0
TRAIN_00184,월세,1257111,10년 이상,0,10,18.5,363502.5,0,15,0,기타,단기 상환,113890.5,163297.5,15444,800,0
TRAIN_00185,월세,1118365.5,2년,0,13,14.1,665995.5,0,29,0,부채 통합,단기 상환,514144.5,241425,23760,791,0
TRAIN_00186,자가,1263679.5,10년 이상,0,10,16.9,13546.5,0,70,0,부채 통합,단기 상환,143845.5,104194.5,0,751,0
TRAIN_00187,주택 담보 대출 (거주 중),1790719.5,10년 이상,0,10,24.6,4206795,0,17,0,부채 통합,단기 상환,491568,1014481.5,35899.5,789,0
TRAIN_00188,월세,1365453,10년 이상,0,11,15.1,1021981.5,0,24,1,부채 통합,단기 상환,663706.5,773868,27960,744,1
